seq,timestamp,rtt,lost
0,2.9579969123005867e-06,0.6258749999688007,0
1,0.05470420799974818,0.4906670001219027,0
2,0.10542454200185603,1.5828749965294264,0
3,0.16211729199858382,0.22058300237404183,0
4,0.21740041700104484,0.18162500055041164,0
5,0.27264916700369213,0.1850829939940013,0
6,0.3279016250016866,0.19137500203214586,0
7,0.38316358299925923,0.16645900177536532,0
8,0.43841745799727505,0.28612500318558887,0
9,0.4938470420020167,0.21079099678900093,0
10,0.5491384170018137,0.18991599790751934,0
11,0.6044112500021583,0.18258299678564072,0
12,0.6596832080031163,0.2299170009791851,0
13,0.715008958002727,0.21337499492801726,0
14,0.7702982080008951,0.17458399815950543,0
15,0.8255671669976437,0.21979099983582273,0
16,0.8808815829979721,0.3610420026234351,0
17,0.9363302499987185,0.1782079998520203,0
18,0.9915864580034395,0.2405419945716858,0
19,1.0469125000017812,0.22458299645222723,0
20,1.1022132500002044,0.18345800344832242,0
21,1.1565572500039707,0.5282079946482554,0
22,1.212182875002327,0.17624999600229785,0
23,1.266287749996991,0.18554200505604967,0
24,1.321571833002963,0.21954199473839253,0
25,1.3721149999983027,0.20841700461460277,0
26,1.4254745420039399,0.21787500008940697,0
27,1.4807715420029126,0.22529099805979058,0
28,1.5359118330015917,0.2160419971914962,0
29,1.5912537499971222,0.4502080046222545,0
30,1.6462909580004634,0.6114170028013177,0
31,1.6989087499969173,0.5191250020288862,0
32,1.7498611670016544,0.5303329962771386,0
33,1.8054455000019516,0.4794999986188486,0
34,1.8610981250021723,0.41762500040931627,0
35,1.9166852499984088,0.5948750040261075,0
36,1.9688381250016391,0.16754199896240607,0
37,2.024069667000731,0.14974999794503674,0
38,2.078120541998942,0.16491600399604067,0
39,2.133357958002307,0.16966700059128925,0
40,2.188606791998609,0.25029099924722686,0
41,2.2439828749993467,0.3618749979068525,0
42,2.297689958002593,0.22058399918023497,0
43,2.3529920000000857,0.28241700056241825,0
44,2.4084248750004917,0.3986669980804436,0
45,2.463838791998569,0.4871659984928556,0
46,2.5194031249993714,0.4999169977963902,0
47,2.574441917000513,0.6464580001193099,0
48,2.6302268330036895,0.20691699319286272,0
49,2.6809736670038546,0.24458299594698474,0
50,2.7329894170034095,0.2365830005146563,0
51,2.7877705830032937,0.3806249951594509,0
52,2.8384535419972963,0.349458001437597,0
53,2.8982951670041075,0.349458001437597,1
54,3.954815917000815,0.349458001437597,1
55,5.011144541997055,0.349458001437597,1
56,6.064070125001308,0.349458001437597,1
57,7.115195124999445,0.349458001437597,1
58,8.171730916998058,0.349458001437597,1
59,9.228107750001072,0.349458001437597,1
60,10.284365250001429,0.349458001437597,1
61,11.340690666998853,0.349458001437597,1
62,12.39581754199753,0.349458001437597,1
63,13.450876041999436,0.349458001437597,1
64,14.507392207997327,0.349458001437597,1
65,15.563249625003664,0.349458001437597,1
66,16.619513750003534,0.349458001437597,1
67,17.67289954199805,0.349458001437597,1
68,18.729485458003182,0.349458001437597,1
69,19.78607324999757,0.349458001437597,1
70,20.84256099999766,0.349458001437597,1
71,21.894592249998823,0.349458001437597,1
72,22.947377333002805,1.1618749995250255,0
73,23.003811875001702,0.2247079974040389,0
74,23.055535583000164,0.2765000026556663,0
75,23.110156000002462,0.2859579981304705,0
76,23.161686958002974,0.22937500034458935,0
77,23.217049042003055,0.1969579971046187,0
78,23.267421875003492,0.20791699353139848,0
79,23.322686583000177,0.2136249968316406,0
80,23.378003582998645,0.3803750005317852,0
81,23.43227287499758,0.44025000534020364,0
82,23.48766104200331,0.40516599983675405,0
83,23.542561000002024,0.6058750004740432,0
84,23.596793791999517,1.9485829980112612,0
85,23.64929495799879,0.21399999968707561,0
86,23.69961937500193,0.35766699875239283,0
87,23.755089500002214,0.2659999954630621,0
88,23.805563499998243,0.35200000274926424,0
89,23.85785308299819,0.4411670015542768,0
90,23.909811999998055,0.4420420009410009,0
91,23.96329133299878,0.4721670047729276,0
92,24.018984207999893,0.6260419977479614,0
93,24.072778499998094,0.22762500157114118,0
94,24.128108124998107,0.22945800446905196,0
95,24.183429582997633,0.24804200074868277,0
96,24.23876512500283,0.2261669942527078,0
97,24.29406979199848,0.16995800251606852,0
98,24.34930941699713,0.17470800230512396,0
99,24.404591792001156,0.3760409963433631,0
100,24.460091875000217,0.28820800071116537,0
101,24.513654000002134,0.43975000153295696,0
102,24.569249041996954,0.37612500454997644,0
103,24.622233875001257,0.5857919968548231,0
104,24.67799216700223,0.3693749968078919,0
105,24.733518417000596,0.43304100108798593,0
106,24.78891229200235,0.621832994511351,0
107,24.84471591700276,0.5103750008856878,0
108,24.895803958002944,0.5438339940155856,0
109,24.947044375003316,0.45729200064670295,0
110,24.997722000000067,0.5081249983049929,0
111,25.0534012920034,0.5619160001515411,0
112,25.10794737499964,0.5061670017312281,0
113,25.16285754200362,0.4538749999483116,0
114,25.218479666997155,0.5127080003148876,0
115,25.273324207999394,0.2575000034994446,0
116,25.328678416997718,0.24466600007144734,0
117,25.381561125002918,0.19712499488377944,0
118,25.436824042000808,0.19916600285796449,0
119,25.492114499997115,0.3828750050161034,0
120,25.546032666999963,0.25712500064400956,0
121,25.601415457997064,0.6681250015390106,0
122,25.655537167003786,0.28537499747471884,0
123,25.71093779199873,0.3599999981815927,0
124,25.762422083003912,0.4264169983798638,0
125,25.817993875003594,0.19662499835249037,0
126,25.873285957997723,0.33183400228153914,0
127,25.9287147080031,0.21374999778345227,0
128,25.981584916997235,0.17241600289708003,0
129,26.036825832998147,0.1743340035318397,0
130,26.0920989169972,0.25600000662961975,0
131,26.147480250001536,0.5611250016954727,0
132,26.20113787500304,0.4518329951679334,0
133,26.256762042001355,0.534124999830965,0
134,26.312475917002303,0.5781660001957789,0
135,26.368232000000717,0.5253749986877665,0
136,26.423229250001896,0.2315419988008216,0
137,26.478601374998107,0.3979579996666871,0
138,26.531025625001348,0.5560419958783314,0
139,26.586434832999657,0.23920900275697932,0
140,26.63941962500394,0.5302079953253269,0
141,26.695098625001265,0.2210000020568259,0
142,26.74587983299716,0.27620900073088706,0
143,26.797220708001987,0.297792001219932,0
144,26.852635875002306,0.23712500114925206,0
