seq,timestamp,rtt_ms,lost
0,5.707996024284512e-06,,1
1,1.0566975420006202,,1
2,2.113215792000119,,1
3,3.165484874996764,,1
4,4.21991354200145,,1
5,5.315554832995986,2.248959004646167,0
6,5.373825957998633,0.4076249970239587,0
7,5.426297457997862,0.23754200083203614,0
8,5.476978082995629,0.20775000302819535,0
9,5.527546375000384,0.210291997063905,0
10,5.582238707997021,0.2682920021470636,0
11,5.637618207998457,0.227833996177651,0
12,5.689323749997129,0.4122079990338534,0
13,5.7448468329967,0.26862500089919195,0
14,5.800238666997757,0.2965829989989288,0
15,5.855644041999767,0.22504099615616724,0
16,5.910356166998099,0.284415997157339,0
17,5.965739832994586,0.2102090002154,0
18,6.021056375000626,0.4468749975785613,0
19,6.076331124997523,0.26908300060313195,0
20,6.131703041995934,0.31562500225845724,0
21,6.187133207997249,0.2409169974271208,0
22,6.2424719170012395,0.17304100038018078,0
23,6.297723541996675,0.17966599989449605,0
24,6.35298066699761,0.17912500334205106,0
25,6.408233666996239,0.19916600285796449,0
26,6.459644082999148,0.21016699611209333,0
27,6.511663917000988,0.2968749977299012,0
28,6.567068791999191,0.29608299519168213,0
29,6.618831667001359,0.526624993653968,0
30,6.673144207998121,0.3096669970545918,0
31,6.72689283300133,0.7695419990341179,0
32,6.77821295800095,0.39074999949662015,0
33,6.833733499996015,0.27429200417827815,0
34,6.889093041994784,0.17108300380641595,0
35,6.942950999997265,0.14283299969974905,0
36,6.998166166995361,0.17804100207285956,0
37,7.053412166998896,0.17033299809554592,0
38,7.1086760420002975,0.18237499898532405,0
39,7.163939582998864,0.17458399815950543,0
40,7.2192007080011535,0.1804169951356016,0
41,7.271735166999861,0.2244159986730665,0
42,7.327264542000194,0.4217909954604693,0
43,7.382902166995336,0.3985410003224388,0
44,7.436988374996872,0.360167003236711,0
45,7.492022749996977,0.48637500003678724,0
46,7.547657791998063,0.30783299735048786,0
47,7.603096374994493,0.3440830041654408,0
48,7.65859300000011,0.4028749972349033,0
49,7.714155124995159,0.4085830005351454,0
50,7.7697069169953465,0.4225410011713393,0
51,7.820577250000497,0.37399999564513564,0
52,7.87536079200072,0.3968329983763397,0
53,7.930907666996063,0.2921250052168034,0
54,7.985492791995057,1.3065000021015294,0
55,8.03949479199946,0.32012500014388934,0
56,8.092547791995457,0.6722079997416586,0
57,8.14836841700162,0.3708749936777167,0
58,8.199078416997509,0.3478330036159605,0
59,8.25457599999936,0.37620800139848143,0
60,8.30996970799606,0.23895900085335597,0
61,8.360663957995712,0.3119590037385933,0
62,8.4131713329989,0.21616699814330786,0
63,8.468489749997389,0.25970800197683275,0
64,8.523349957999017,0.14237499999580905,0
65,8.576316416998452,0.2701659977901727,0
66,8.630653791995428,0.2610000010463409,0
67,8.68102566699963,0.48299999616574496,0
68,8.732167457994365,0.31525000667897984,0
69,8.78464683299535,0.3951250037061982,0
70,8.840288708001026,0.33099999564001337,0
71,8.895828832995903,0.2863340050680563,0
72,8.950771374999022,0.32287499925587326,0
73,9.001863833000243,0.44424999941838905,0
74,9.095020542001294,0.37637499917764217,0
75,9.150579791996279,0.3576660019461997,0
76,9.205900249995466,0.22050000552553684,0
77,9.259641083001043,0.25129199639195576,0
78,9.310642958000244,0.3890839943778701,0
79,9.366157124997699,0.30404199787881225,0
80,9.421606791998784,0.4413330025272444,0
81,9.476365874994372,0.2266670053359121,0
82,9.527752082998632,0.2372090020799078,0
83,9.583090832995367,0.25887499941745773,0
84,9.63846266699693,0.2624160042614676,0
85,9.69331337499898,0.35270799708087,0
86,9.748790124998777,0.2598749997559935,0
87,9.804163417000382,0.31512499845121056,0
88,9.85961962500005,0.26891699963016436,0
89,9.914982624999539,0.29883300157962367,0
90,9.97042849999707,0.40175000322051346,0
91,10.021406125000794,0.4549999939627014,0
92,10.076553041995794,0.23137500102166086,0
93,10.13189029199566,0.2864580019377172,0
94,10.187299917000928,0.4048749979119748,0
95,10.242908457999874,0.25820899463724345,0
96,10.297030666995852,0.2705410006456077,0
97,10.352419208000356,0.44779200106859207,0
98,10.405833624994557,0.2324170054635033,0
99,10.46114220799791,0.2604999972390942,0
100,10.51419058299507,0.2525000018067658,0
101,10.568017375000636,0.2847079958883114,0
102,10.62160999999469,0.26045800041174516,0
103,10.676979208001285,0.34683400008361787,0
104,10.732449249997444,0.35208299959776923,0
105,10.789909708000778,5.035208996559959,0
106,10.850298874996952,0.3742080007214099,0
107,10.901308249995054,1.1645420017885044,0
108,10.957835624998552,0.38041699735913426,0
109,11.008701124999789,0.5388749996200204,0
110,11.061404916996253,0.34295800287509337,0
111,11.111974332998216,0.46008399658603594,0
112,11.16465391699603,0.25475000438746065,0
113,11.219505332999688,0.31954199948813766,0
114,11.27474416699988,0.3722080000443384,0
115,11.329229457995098,0.32625000312691554,0
116,11.385419207996165,4.795749999175314,0
117,11.440633624995826,0.34583300293888897,0
118,11.491849582998839,0.39216699951794,0
119,11.546847749996232,0.3525830034050159,0
120,11.60231579199899,0.2827499993145466,0
121,11.654084750000038,0.31395800033351406,0
122,11.70951037499617,0.2684170030988753,0
123,11.760271332997945,0.49483399925520644,0
124,11.814612707996275,0.534083999809809,0
125,11.867496667000523,0.47212500066962093,0
126,11.923124082997674,0.4892090000794269,0
127,11.978803332996904,0.5728750038542785,0
128,12.03413579199696,0.26337500457884744,0
129,12.089538374995755,0.19112500012852252,0
130,12.142964499995287,0.26729200180852786,0
131,12.198325166995346,0.26487500144867226,0
132,12.250551874996745,0.46875000407453626,0
133,12.303241374997015,0.5803750027553178,0
134,12.35906774999603,0.7661670024390332,0
135,12.410910499995225,0.7134170009521767,0
136,12.466816041996935,0.5412910031736828,0
137,12.519945041996834,0.4596250000759028,0
138,12.575358292000601,0.48770799912745133,0
139,12.627307416994881,0.8933749995776452,0
140,12.683401916998264,0.1757080026436597,0
141,12.738676542001485,0.26716599677456543,0
142,12.794321082998067,14.318583998829126,0
143,12.863732707999588,0.20391699945321307,0
144,12.918999707995681,0.1763340042089112,0
145,12.974248082995473,0.20029200095450506,0
146,13.026298042001144,0.23754099674988538,0
147,13.081660499999998,0.36308299604570493,0
148,13.134220916996128,0.5342910008039325,0
149,13.185540166996361,1.3692499996977858,0
150,13.237482166994596,0.538958003744483,0
151,13.291996749998361,0.393000002077315,0
152,13.344389958001557,0.5255419964669272,0
153,13.400093124997511,0.6517919973703101,0
154,13.455983082996681,0.5208340007811785,0
155,13.510635708000336,0.3147919996990822,0
156,13.562899749995267,0.40254200575873256,0
157,13.617475291997835,0.5289160035317764,0
158,13.669765457998437,0.5980420028208755,0
159,13.725316957999894,0.4061250001541339,0
160,13.780865666994941,0.4372080002212897,0
161,13.83615558299789,0.44004200026392937,0
162,13.887528082996141,0.5025420032325201,0
163,13.939420416994835,0.3763330023502931,0
164,13.99059341699467,0.3768330061575398,0
165,14.043953916996543,0.4952910021529533,0
166,14.096154332997685,0.5172919991309755,0
167,14.150302417001512,0.5722499990952201,0
168,14.203441457997542,0.4255419989931397,0
169,14.258683957996254,0.48954199883155525,0
170,14.31065474999923,0.4355420023784973,0
171,14.36625416699826,0.5014159978600219,0
172,14.418713957995351,0.20895900524919853,0
173,14.474013749997539,0.19991699809907004,0
174,14.529276624998602,0.1912079969770275,0
175,14.5836042919982,0.20129099721089005,0
176,14.638921874997322,0.4131250025238842,0
177,14.694486125001276,0.262333000137005,0
178,14.74985858299624,0.2712499990593642,0
179,14.80060012499598,0.20300000323913991,0
180,14.851021249996847,0.21091700182296336,0
181,14.904493124995497,0.21291700250003487,0
182,14.959729916998185,0.31762500293552876,0
183,15.015126833000977,0.2089589979732409,0
184,15.070448792001116,0.35812499845633283,0
185,15.124456666999322,0.6569999968633056,0
186,15.18018937499437,0.7005000006756745,0
187,15.233962957994663,0.2372090020799078,0
188,15.289702499998384,0.28937499882886186,0
189,15.345181917000446,0.4409579996718094,0
190,15.40084041699447,0.39812500472180545,0
191,15.456437082997581,0.41841700294753537,0
192,15.511452166996605,0.3551660047378391,0
193,15.566978874994675,0.32870800350792706,0
194,15.617981208000856,0.38854199374327436,0
195,15.669833332998678,0.37937500019324943,0
196,15.723942207994696,0.5155000035301782,0
197,15.776853332994506,0.3259590012021363,0
198,15.82966704199498,0.30008300382178277,0
199,15.883641125001304,0.36458300019148737,0
200,15.939156249994994,0.27137500001117587,0
201,15.992048041996895,1.9257079984527081,0
202,16.049388916995667,0.5432910038507544,0
203,16.10493054199469,0.5790000068373047,0
204,16.158734624994395,0.2872080003726296,0
205,16.211515292001422,0.26162499852944165,0
206,16.266976792001515,0.34899999445769936,0
207,16.320541207998758,0.3536669973982498,0
208,16.37600774999737,0.32854200253495947,0
209,16.42884587500157,0.4659999976865947,0
210,16.48450716699881,0.4809160018339753,0
211,16.53697000000102,1.385791998472996,0
212,16.593512916995678,0.25850000383798033,0
213,16.64889050000056,0.32729200029280037,0
214,16.710368874999403,10.628124997310806,0
215,16.774158916996385,1.0719159981817938,0
216,16.82636249999632,1.8285000041942112,0
217,16.883277249995444,0.19570800213841721,0
218,16.938545541997883,0.23237500136019662,0
219,16.990299332996074,0.27670900453813374,0
220,17.0456799579988,0.2667090011527762,0
221,17.10106708300009,0.26308399537811056,0
222,17.15642674999981,0.23912499455036595,0
223,17.208737916997052,0.22870799875818193,0
224,17.264084707996517,0.2715840018936433,0
225,17.317582957999548,0.4422919955686666,0
226,17.3709974999947,0.26612500369083136,0
227,17.422110874998907,0.49766700249165297,0
228,17.477284957996744,0.35441700310911983,0
229,17.53065583299758,0.4101250015082769,0
230,17.58215041699441,0.2317080070497468,0
231,17.637524792000477,0.3513749979902059,0
232,17.69196820799698,0.33154200355056673,0
233,17.743006917000457,0.40949999674921855,0
234,17.796213707995776,0.5111670034239069,0
235,17.850253541997517,0.47745800111442804,0
236,17.901247000001604,0.2637919969856739,0
237,17.956651542001055,0.2451659966027364,0
238,18.012023707997287,0.34662499820115045,0
239,18.066968582999834,0.5174170000827871,0
240,18.12190254199959,0.4572079997160472,0
241,18.172914707996824,0.8706669977982529,0
242,18.22535049999715,0.2909579998231493,0
243,18.27628312500019,0.2418750009383075,0
244,18.329987707998953,0.24191699776565656,0
245,18.381240874994546,0.2631670067785308,0
246,18.436614957994607,0.32675000693416223,0
247,18.489475791997393,0.2496250017429702,0
248,18.541164957998262,0.28741700225509703,0
249,18.592555082999752,0.26033399626612663,0
250,18.6443809170014,0.26383299700682983,0
251,18.69976045799558,0.22716700186720118,0
252,18.75098091700056,0.31816599948797375,0
253,18.806446999995387,0.29679200088139623,0
254,18.859603416996833,0.22908300161361694,0
255,18.91010408299917,0.5906669975956902,0
256,18.961259332994814,0.18479200662113726,0
257,19.01651291699818,0.19779099966399372,0
258,19.071801416997914,0.25641600223025307,0
259,19.123931417001586,0.22408299992093816,0
260,19.17627695799456,0.18662500224309042,0
261,19.231550999997125,0.2689579996513203,0
262,19.285596749999968,0.24816699442453682,0
263,19.338407874995028,0.41229199996450916,0
264,19.393916791996162,0.26716600405052304,0
265,19.44936562499788,0.3436249971855432,0
266,19.504838374996325,0.1731669981381856,0
267,19.559616457998345,0.24483400193275884,0
268,19.614958833000856,0.2474590000929311,0
269,19.67030462499679,0.2525829986552708,0
270,19.725636707997182,0.15208400145638734,0
271,19.776287207998394,0.18554199778009206,0
272,19.83153370799846,0.17495900101494044,0
273,19.88679529199726,0.24462500005029142,0
274,19.939476749997993,0.4764580007758923,0
275,19.992964375000156,0.319041995680891,0
276,20.048410457995487,0.3205419998266734,0
277,20.103872791994945,0.3003330057254061,0
278,20.159276792001037,0.2410829984000884,0
279,20.21461887499754,0.32979199750116095,0
280,20.265675624999858,0.6006249968777411,0
281,20.321475582997664,0.5309589978423901,0
282,20.377650666996487,0.1985830022022128,0
283,20.43327341699478,2.143916004570201,0
284,20.48736624999583,0.18900000577559695,0
285,20.54262170799484,0.25370900402776897,0
286,20.59802066699922,0.4141249955864623,0
287,20.653591707996384,0.24766700516920537,0
288,20.70895045799989,0.23591699573444203,0
289,20.764278041999205,0.17270800162805244,0
290,20.819568041995808,0.4318330029491335,0
291,20.875171832994965,0.504834002640564,0
292,20.930827874995884,0.4416250012582168,0
293,20.985510416998295,0.509375000547152,0
294,21.03807224999764,0.4388750021462329,0
295,21.093580082997505,0.5394170002546161,0
296,21.149276416996145,0.34550000418676063,0
297,21.20481637500052,0.4482079966692254,0
298,21.260404624998046,0.22762500157114118,0
299,21.31571462500142,0.2540829955250956,0
300,21.371044250001432,0.24516699340892956,0
301,21.42639404199872,0.33129099756479263,0
302,21.482347999997728,0.5752080032834783,0
303,21.533436332996644,0.5872090041521005,0
304,21.584835292000207,0.49724999553291127,0
305,21.640519082997344,0.6058750004740432,0
306,21.695495041996764,0.45112500083632767,0
307,21.750766207995184,0.38254200626397505,0
308,21.806324249999307,0.4443750003702007,0
309,21.859629667000263,0.4898749975836836,0
310,21.910853249995853,0.46100000326987356,0
311,21.966484958000365,0.3464999972493388,0
312,22.02110804199765,0.22795800032326952,0
313,22.076452832996438,0.44912500015925616,0
314,22.132110874998034,0.5188750001252629,0
315,22.18569595799636,0.528125005075708,0
316,22.241385541994532,0.46350000047823414,0
317,22.29545149999467,0.5150420038262382,0
318,22.350295500000357,0.4599579988280311,0
319,22.405929458000173,0.4733339956146665,0
320,22.46116774999973,0.4010420016129501,0
321,22.516732541997044,0.4343750042608008,0
322,22.572329457994783,0.4733340028906241,0
323,22.625333374999173,0.8038750020205043,0
324,22.67672208300064,0.23462499666493386,0
325,22.732078624998394,0.31962499633664265,0
326,22.785704582995095,0.5075840017525479,0
327,22.841387791995658,0.45466600568033755,0
328,22.893956874999276,0.5315419984981418,0
329,22.949665041996923,0.4485829995246604,0
330,23.0009712079991,0.5347920014173724,0
331,23.053128874998947,0.4493750020628795,0
332,23.108641374994477,0.6717920041410252,0
333,23.159689624997554,0.6487499995273538,0
334,23.21548945799441,0.2164590041502379,0
335,23.270771332994627,0.18279200594406575,0
336,23.324914083001204,0.24924999888753518,0
337,23.376175416997285,0.27604099886957556,0
338,23.43155249999836,0.1961250018212013,0
339,23.48682374999771,0.18879200069932267,0
340,23.542088416994375,0.21941600425634533,0
341,23.59394741700089,0.22495799930766225,0
342,23.64929379199748,0.38095800118753687,0
343,23.700765957997646,0.3076670036534779,0
344,23.756173458001285,0.24770899472059682,0
345,23.81151449999743,0.2308330003870651,0
