seq,times_elapsed_secs,rtt_ms,lost
0,1.0420335456728935e-06,0.4142499528825283,0
1,0.01294345798669383,0.2606670022942126,0
2,0.02572712500113994,0.2525420277379453,0
3,0.03850174997933209,0.23558305110782385,0
4,0.0498542080167681,0.27479196432977915,0
5,0.0626764579792507,,1
6,0.1755467919865623,,1
7,0.2897197080310434,0.5339169874787331,0
8,0.30284866702277213,0.37595798494294286,0
9,0.3138361250166781,0.5803329986520112,0
10,0.32627145800506696,0.5042920238338411,0
11,0.3376384580042213,0.5622499738819897,0
12,0.3511703750118613,0.6209579878486693,0
13,0.3629210829967633,0.4843749920837581,0
14,0.3747458750149235,0.524416973348707,0
15,0.3878597079892643,0.4270840436220169,0
16,0.3998735420173034,0.34024997148662806,0
17,0.4103979170322418,0.4944999818690121,0
18,0.42240937502356246,0.36708300467580557,0
19,0.4353213750291616,0.18033297965303063,0
20,0.4472088750335388,0.2247079974040389,0
21,0.4599680830142461,,1
22,0.573677874985151,0.40537503082305193,0
23,0.5866363749955781,0.2418750082142651,0
24,0.5994087500148453,0.3014579997397959,0
25,0.6122846670332365,,1
26,0.7260892920312472,0.471249979455024,0
27,0.7391801670310088,0.4499159986153245,0
28,0.7503152079880238,0.3344170399941504,0
29,0.7628893330111168,0.39179198211058974,0
30,0.7747232919791713,0.17537502571940422,0
31,0.7874324999866076,0.22500002523884177,0
32,0.8001965419971384,0.26416598120704293,0
33,0.8130389170255512,0.27866597520187497,0
34,0.8247064999886788,0.17870799638330936,0
35,0.8352735420339741,0.21958298748359084,0
36,0.8464320420171134,0.28808298520743847,0
37,0.8584610419929959,,1
38,0.97208049998153,0.37266704021021724,0
39,0.9849926669849083,0.26000000070780516,0
40,0.9972166669904254,0.22129103308543563,0
41,1.0099645830341615,0.28233398916199803,0
42,1.022771666990593,0.2115830429829657,0
43,1.0355114580015652,0.2760420320555568,0
44,1.0483080830308609,0.24462497094646096,0
45,1.0610708330059424,0.23195898393169045,0
46,1.073816624993924,0.22975000320002437,0
47,1.0865590830217116,0.2233749837614596,0
48,1.0993115830351599,0.23333396529778838,0
49,1.1120884999982081,0.3517500008456409,0
50,1.1250121250050142,0.41441700886934996,0
51,1.1373174579930492,0.6182920187711716,0
52,1.1505141250090674,0.709832995198667,0
53,1.1638517919927835,0.8102499996311963,0
54,1.1772937920177355,0.5009999731555581,0
55,1.188489500025753,0.46129198744893074,0
56,1.2009530420182273,0.6532499683089554,0
57,1.2142024170025252,0.6988330278545618,0
58,1.2257182080065832,0.4220000118948519,0
59,1.237522582989186,0.5312089924700558,0
