seq,times_elapsed_secs,rtt_ms,lost
0,1.207983586937189e-06,255.76762499986216,0
1,0.2683794159675017,251.98945903684944,0
2,0.5329508329741657,253.55908297933638,0
3,0.7977037079981528,255.4995829705149,0
4,1.0659402500023134,255.68345800274983,0
5,1.3342363749979995,254.37933299690485,0
6,1.6011870829970576,255.55979198543355,0
7,1.8668869999819435,255.631165986415,0
8,2.1350692909909412,255.3864999790676,0
9,2.4030094579793513,255.449749995023,0
10,2.6710547079565004,255.7544580195099,0
11,2.937261624960229,255.5445830221288,0
12,3.2054013749584556,255.57725003454834,0
13,3.4735711659886874,251.0032919817604,0
14,3.7371127079823054,252.80141702387482,0
15,4.0025759160052985,255.58437500149012,0
16,4.2707239159499295,253.37479205336422,0
17,4.536713249981403,255.6331250234507,0
18,4.804949832963757,255.72391704190522,0
19,5.073272957990412,254.91141696693376,0
20,5.338393374986481,254.13162499899045,0
21,5.604060665995348,255.6054589804262,0
22,5.872276540962048,255.7342920335941,0
23,6.140752749983221,255.61008299700916,0
24,6.408863082993776,255.2135830046609,0
25,6.675547708000522,255.5456249974668,0
26,6.943703540950082,250.95533404964954,0
27,7.207260290975682,255.9298339765519,0
28,7.473613665963057,252.23491701763123,0
29,7.73736062500393,250.96824998036027,0
30,7.999911291000899,255.63670898554847,0
31,8.268195207987446,251.90124998334795,0
32,8.53267845796654,258.358417020645,0
33,8.80362324998714,255.7532080099918,0
34,9.070921540958807,255.6108750286512,0
35,9.338150625000708,255.7094999938272,0
36,9.606443499971647,254.37033298658207,0
37,9.87202004098799,255.77220896957442,0
38,10.140397249953821,255.60966599732637,0
39,10.406912665988784,255.2571669803001,0
40,10.674832999997307,252.08758300868794,0
41,10.938709332956932,252.01008300064132,0
42,11.203356290992815,256.0769169940613,0
43,11.472023540991358,255.84770896239206,0
44,11.740577457996551,255.7158749550581,0
45,12.008233707980253,252.24883301416412,0
46,12.27299862500513,255.79099997412413,0
47,12.539653665968217,253.16887500230223,0
48,12.803940624988172,255.67095796577632,0
49,13.07010041596368,255.71916700573638,0
50,13.336724166001659,251.03404198307544,0
51,13.600369707972277,253.9899169933051,0
52,13.865830499969888,251.28962501185015,0
53,14.129440790973604,255.67949999822304,0
54,14.396105249994434,255.82829100312665,0
55,14.662163082975894,255.69320801878348,0
56,14.928578666003887,255.5901669547893,0
57,15.195116832968779,252.3379169870168,0
58,15.45991062495159,255.63116604462266,0
59,15.72814716596622,252.97787500312552,0
60,15.993769583001267,255.5463329772465,0
61,16.259658249968197,254.78070799726993,0
62,16.52762862498639,253.50104097742587,0
63,16.793802624975797,252.58079101331532,0
64,17.05906583298929,255.68387500243261,0
65,17.327346624981146,252.49966600676998,0
66,17.591717040981166,254.9215839826502,0
67,17.857961000001524,255.86408295203,0
68,18.12646349996794,254.32112498674542,0
69,18.393407249997836,255.393749976065,0
70,18.661396499956027,255.79783302964643,0
71,18.92947854095837,255.85233402671292,0
72,19.1980572079774,255.88020798750222,0
73,19.46661825000774,255.77783299377188,0
74,19.7350096659502,255.73241704842076,0
75,20.001754790951964,253.93958401400596,0
76,20.26832462497987,253.73474997468293,0
77,20.534327125002164,255.8019999996759,0
78,20.80272483295994,255.4620000300929,0
79,21.070765540993307,255.34329196671024,0
80,21.337283707980532,255.65858301706612,0
81,21.60552766598994,256.01716700475663,0
82,21.873627832974307,255.98274997901171,0
83,22.142219040950295,253.14775004517287,0
84,22.40792408300331,255.6185830035247,0
85,22.675169333000667,253.61820799298584,0
86,22.941379541007336,255.07149996701628,0
87,23.209061415982433,254.18037502095103,0
88,23.47586866596248,254.45112504530698,0
89,23.74291924998397,252.69854097859934,0
90,24.008226250007283,254.08958294428885,0
91,24.27492145798169,253.1550829880871,0
92,24.538716749986634,251.2049999786541,0
93,24.802508374967147,255.69766602711752,0
94,25.07081945799291,254.74429200403392,0
95,25.338165332970675,255.71891700383276,0
96,25.605893290950917,255.1370000001043,0
97,25.87364800000796,255.7274999562651,0
98,26.141987124981824,254.5270409900695,0
99,26.409142874996178,250.81766600487754,0
100,26.670608249958605,255.6918750051409,0
101,26.93891674996121,255.70654100738466,0
102,27.206943499972112,250.71983301313594,0
103,27.469091290957294,253.2249170471914,0
104,27.73492312495364,255.68029104033485,0
105,28.003223165986128,254.04570897808298,0
106,28.26751608296763,255.85754198255017,0
107,28.535995790967718,255.86387503426522,0
108,28.804081749985926,253.79466597223654,0
109,29.069210540968925,255.7476669899188,0
110,29.335396540991496,253.84383398341015,0
111,29.601840832969174,255.76104200445116,0
112,29.87022291595349,255.84312505088747,0
113,30.13686475000577,251.78341596620157,0
114,30.399485540983733,255.66220900509506,0
115,30.66702254099073,255.6029999977909,0
116,30.93523166596424,255.68470900179818,0
117,31.20352662500227,255.65874995663762,0
118,31.471117374952883,255.68170804763213,0
119,31.739401041006204,255.61983394436538,0
120,32.005893040972296,255.69170899689198,0
121,32.27344237494981,255.70512504782528,0
122,32.54046691599069,255.63412497285753,0
123,32.807893374993,255.41379099013284,0
124,33.07452604098944,255.67912496626377,0
125,33.341766999976244,254.52658301219344,0
126,33.60889262496494,255.52237499505281,0
127,33.877024707966484,255.43629203457385,0
128,34.14264491596259,254.01020899880677,0
129,34.409290040959604,255.8009999920614,0
130,34.67771299998276,255.87891601026058,0
131,34.94627158297226,255.93658298021182,0
132,35.21494008298032,251.23420800082386,0
133,35.478795083006844,255.86695794481784,0
