seq,times_elapsed_secs,rtt_ms,lost
0,2.91600008495152e-06,30.344875005539507,0
1,0.13548254100896884,328.31924999482,0
2,0.5690132500021718,502.7902500005439,0
3,1.177005541001563,293.9648340106942,0
4,1.5713316250039497,357.78108300291933,0
5,2.0296252080006525,93.17341700079851,0
6,2.223010083005647,0.2562080044299364,0
7,2.328346499998588,0.33579100272618234,0
8,2.4297304580104537,,1
9,3.5315222080098465,,1
10,4.636598708006204,,1
11,5.743084500005352,,1
12,6.850729416008107,,1
13,7.962164458003826,,1
14,9.070493333012564,,1
15,10.175885290998849,620.1032090029912,0
16,10.902365750007448,823.3912080031587,0
17,11.82649425001,681.1594999890076,0
18,12.612389791000169,828.5573750035837,0
19,13.54653458300163,,1
20,14.653110041006585,,1
21,15.759717541004648,862.8940420021536,0
22,16.728574500011746,0.7222079875646159,0
23,16.832711208000546,1.3884580112062395,0
24,16.93481587500719,91.74741599417757,0
25,17.130278791009914,526.2904169940157,0
26,17.761711125000147,618.7682500021765,0
27,18.48560970800463,524.3257080001058,0
28,19.11410883300414,324.1303329996299,0
29,19.539942125004018,514.0355830080807,0
30,20.159092541012797,542.2932919900632,0
31,20.808974833009415,0.3095419961027801,0
32,20.90947633300675,550.4935829958413,0
33,21.564866583008552,883.8815420022001,0
34,22.554102583002532,477.16700000455603,0
35,23.135215833011898,500.78670799848624,0
36,23.74044337500527,548.6963330040453,0
37,24.391716625003028,360.2996660047211,0
38,24.855650916011655,864.0846669877646,0
39,25.824895625002682,768.5327910003252,0
40,26.693796375009697,0.3607499966165051,0
41,26.796247500009486,560.3558750008233,0
42,27.45746470800077,864.998832999845,0
43,28.42362108299858,638.8614170136862,0
44,29.16770470800111,899.1110830102116,0
45,30.167844791008974,843.92833399761,0
46,31.117154166000546,137.0758749981178,0
47,31.35737258300651,205.97233300213702,0
48,31.668505416004336,,1
49,32.775999375007814,,1
50,33.882256708006025,,1
51,34.989446750012576,194.41149999329355,0
52,35.289504915999714,533.8571250031237,0
53,35.9285275410075,426.00379200302996,0
54,36.45882816601079,714.2963340011192,0
55,37.27825941600895,877.558374995715,0
56,38.25919633300509,646.8168749997858,0
57,39.01324966600805,0.2694169961614534,0
58,39.118773833004525,854.3033330061007,0
59,40.07827095800894,226.69549999409355,0
60,40.41011837500264,660.0265830056742,0
61,41.17533141600143,131.98495900724083,0
62,41.41035954101244,891.3724169979105,0
63,42.407041708007455,575.8566669974243,0
64,43.08519129100023,378.17520899989177,0
65,43.564795583006344,754.6267919969978,0
66,44.42440454100142,56.30858401127625,0
67,44.58216520800488,,1
68,45.68321037500573,,1
69,46.788785791010014,,1
70,47.8941937500058,,1
71,48.9981972079986,,1
72,50.10235354100587,,1
73,51.20781995799916,,1
74,52.31106529101089,,1
75,53.41748445801204,,1
76,54.52350424999895,,1
77,55.628126583003905,305.4038330010371,0
78,56.038733749999665,,1
79,57.144320833001984,,1
80,58.25625162500364,,1
81,59.36147170800541,,1
82,60.465167665999616,,1
83,61.569581250005285,389.5445829984965,0
84,62.06254958300269,714.8770420026267,0
85,62.88253587500367,706.4521249994868,0
86,63.69418608301203,142.11962498666253,0
87,63.94077591600944,277.9249589948449,0
88,64.32390362500155,444.4340000045486,0
89,64.87345141600235,161.3939590024529,0
90,65.13979970800574,537.7036669960944,0
91,65.78266429100768,579.9412499909522,0
92,66.46665595800732,787.2975420032162,0
93,67.35912245800137,368.44504201144446,0
94,67.82867554100812,614.5998339925427,0
95,68.54731887500384,478.90683299920056,0
96,69.13141545800318,29.907375006587245,0
97,69.26641345801181,,1
98,70.3685667910031,,1
99,71.47497545801161,648.9589580014581,0
100,72.22919199999887,512.7100410027197,0
101,72.84712550000404,285.96599999582395,0
102,73.23434695800825,124.18733300000895,0
103,73.45935354100948,712.7458339964505,0
104,74.27461225001025,0.4425410006660968,0
105,74.38025183300488,0.6044170004315674,0
106,74.48177187501278,432.4902079970343,0
107,75.01938591600629,741.9550839986186,0
108,75.8664405830059,688.2118749927031,0
109,76.65976975001104,241.26787499699276,0
110,77.00340162499924,0.5476250080391765,0
111,77.10798962500121,,1
112,78.21684029100288,,1
113,79.31945233300212,,1
114,80.42211841601238,,1
115,81.52475270800642,866.6402920061955,0
116,82.4953584580071,,1
117,83.60074850000092,,1
118,84.70721416600281,,1
119,85.81396916600352,,1
120,86.91683037500479,,1
121,88.02359862500452,,1
122,89.13025425000524,,1
123,90.23308541601,,1
124,91.3386112080043,,1
125,92.44495483300125,918.5229580034502,0
126,93.4688478330063,191.61187499412335,0
127,93.76483912501135,0.6311249890131876,0
128,93.87150787501014,114.72050000156742,0
129,94.08688724999956,697.2931660129689,0
130,94.88644804101204,368.37266699876636,0
131,95.36000333300035,0.5683330091414973,0
132,95.4638675830065,0.6358329992508516,0
133,95.56593120800972,396.7530829977477,0
134,96.09299241600093,0.4460420022951439,0
135,96.1984013330075,546.6247080039466,0
136,96.8503002080106,,1
137,97.96693850000156,,1
138,99.07355870801257,,1
139,100.18208091601264,,1
140,101.2853994580073,,1
141,102.3868354580045,51.49287500535138,0
142,102.53943062500912,417.4112909968244,0
143,103.0597245000099,399.54466599738225,0
144,103.56176958300057,719.1625830018893,0
145,104.38643537501048,0.49504099297337234,0
146,104.49205958300445,71.09616699744947,0
147,104.66617658300675,594.6372079924913,0
148,105.36763125000289,600.3431249991991,0
149,106.07314862500061,501.11583300167695,0
150,106.67834554100409,0.4333340039011091,0
151,106.78392016600992,358.66974999953527,0
152,107.24783845800266,774.549667010433,0
153,108.12292441600584,99.26787500444334,0
154,108.32667266600765,,1
155,109.43862829101272,,1
156,110.5414681250113,,1
157,111.64900491600565,739.6219999936875,0
158,112.48997249999957,,1
159,113.5977306660061,,1
160,114.70069366600364,,1
161,115.80764041600924,613.4529169939924,0
162,116.5267060410115,126.37037500098813,0
163,116.7582384999987,333.30045800539665,0
164,117.19472100000712,695.4619579919381,0
165,117.99409945801017,874.7345419978956,0
166,118.97011333300907,317.76708299003076,0
167,119.39299945801031,587.5779170019086,0
168,120.08191587500914,239.54233300173655,0
169,120.4266060830123,0.3941670001950115,0
170,120.52959600000759,657.1386659925338,0
171,121.29208900000958,,1
172,122.3979599160084,,1
173,123.50149154099927,,1
174,124.60873375000665,198.80983300390653,0
175,124.91164495800331,0.46070800453890115,0
176,125.01720212500368,556.0292910085991,0
177,125.67838566600403,340.0512090011034,0
178,126.12309304100927,304.79279199789744,0
179,126.52803070801019,855.5262500012759,0
180,127.48823033300869,4.2314579914091155,0
181,127.59756016600295,378.9375000051223,0
182,128.07698554100352,0.42908400064334273,0
183,128.1819643330091,0.5533749936148524,0
184,128.28477833300713,434.7882500005653,0
185,128.82318466600555,469.6529590000864,0
186,129.3979552910023,207.28358400810976,0
187,129.70722975001263,887.0702079875628,0
188,130.6957581660099,543.2468749932013,0
189,131.34274012500828,0.1982910034712404,0
190,131.44801658300275,0.43162499787285924,0
191,131.54883712501032,816.5851660014596,0
192,132.46836979100772,565.2967499918304,0
193,133.13645104100578,,1
194,134.2413286660012,,1
195,135.34499062500254,,1
196,136.44730991600954,852.391666994663,0
197,137.40441829100018,0.6719170050928369,0
198,137.50795183300215,429.36320800799876,0
199,138.0424312910036,872.0819169975584,0
200,139.01671720801096,662.7624579996336,0
201,139.78118987500784,879.5017910015304,0
202,140.7655442910036,766.4082499977667,0
203,141.63687766600924,559.6438749926165,0
204,142.29952108301222,383.05504199524876,0
205,142.78698200000508,,1
206,143.8910107910051,,1
207,144.992698416012,,1
208,146.09728812500543,,1
209,147.20214600001054,529.1565829975298,0
210,147.8338467499998,757.9900830023689,0
211,148.69702904100996,439.75441699149087,0
212,149.24336241600395,318.80104199808557,0
213,149.66727654100396,0.5163750029169023,0
214,149.77267983301135,877.8658749943133,0
215,150.7556347080099,0.2925000007962808,0
216,150.86101295800472,856.0539580066688,0
217,151.82221375001245,677.4142079957528,0
218,152.60468204101198,276.95304199005477,0
219,152.98465329100145,275.0497090019053,0
220,153.3649253330077,288.9634169987403,0
221,153.75902425000095,0.39916600508149713,0
222,153.86457925000286,312.20425000356045,0
223,154.28187766599876,128.27762500091922,0
224,154.51081983301265,0.31204198603518307,0
225,154.6113807500078,82.23262499086559,0
226,154.79526112500753,235.4441249917727,0
227,155.13596279099875,261.4268750039628,0
228,155.49978820800607,127.28116700600367,0
229,155.7322436250106,381.24608299403917,0
230,156.21868720800558,268.19645799696445,0
231,156.5905916250049,91.2452909979038,0
232,156.7845296250016,765.1798750011949,0
233,157.6538838330016,111.33604199858382,0
234,157.8656117500068,431.2826249952195,0
235,158.40202616600436,186.13287499465514,0
236,158.69120879100228,308.3424170035869,0
237,159.10470933301258,136.45066699245945,0
238,159.3462297500082,630.5942500039237,0
239,160.0810004160012,648.0547500104876,0
240,160.83167129100184,0.2591250085970387,0
241,160.93703620800807,356.8848330032779,0
242,161.3985767080012,0.1981670066015795,0
243,161.50289787500515,0.41829100518953055,0
244,161.60547204100294,736.5579589968547,0
245,162.44725800000015,745.4357079986949,0
246,163.29298187501263,10.099665989400819,0
247,163.40361620800104,407.8867500065826,0
248,163.9148882080044,146.2754579988541,0
249,164.16258562500298,723.4549160057213,0
250,164.98810945800506,,1
251,166.09316304100503,,1
252,167.1987841250084,,1
253,168.30287691600097,,1
254,169.4079875410098,757.7217919897521,0
255,170.26643195800716,209.7772499982966,0
256,170.58016879099887,,1
257,171.68567416600126,,1
258,172.79048058300395,,1
259,173.89793595801166,,1
260,175.00487812500796,,1
261,176.11132462500245,320.8092499990016,0
262,176.536842875008,451.1025410029106,0
263,177.0898433750117,112.93212499003857,0
264,177.30787491600495,428.4676249953918,0
265,177.84142991600675,328.85849999729544,0
266,178.27517012500903,889.2997499933699,0
267,179.26996804100054,,1
268,180.37238970800536,,1
269,181.4772196660051,,1
270,182.58073600000353,,1
271,183.6881883330061,,1
272,184.79547745799937,,1
273,185.89838754100492,990.893916998175,0
274,186.99428287500632,60.830749993328936,0
275,187.15611483300745,196.18450000416487,0
276,187.45578245801153,349.4676249974873,0
277,187.90837133300374,877.9827079997631,0
278,188.89027804099896,704.4685420114547,0
279,189.69751783300308,64.48500000988133,0
280,189.86562204100483,443.93270900764037,0
281,190.41467541600286,303.79912500211503,0
282,190.81928104101098,347.9878340003779,0
283,191.26887195800373,843.3773750002729,0
284,192.2165965410095,480.3609590017004,0
285,192.8015080410114,139.5453750010347,0
286,193.04411958300625,873.4879169933265,0
287,194.01933012501104,524.7743749932852,0
288,194.64926529100921,10.597708998830058,0
289,194.76099941600114,240.0751250097528,0
290,195.10400354101148,,1
291,196.2107838330121,,1
292,197.31703270800062,,1
293,198.42349875000946,788.1998749944614,0
294,199.31696320800984,554.4414579926524,0
295,199.97502595800324,653.4999580035219,0
296,200.72991425001237,87.94029099226464,0
297,200.92229250000673,312.6437500031898,0
298,201.34012891601014,742.7013339911355,0
299,202.18799066600332,348.62250000878703,0
